Date,Open,High,Low,Close,Volume
2023-01-03,130.279999,130.899994,124.160004,125.879997,112117700
2023-01-04,126.889999,127.489998,124.949997,126.360001,89116200
2023-01-05,127.129997,127.769997,124.760002,125.109998,80962700
2023-01-06,126.010002,130.259995,124.889999,129.619995,87754700
2023-01-09,130.470001,133.410004,129.889999,130.149994,70690600
2023-01-10,130.259995,131.259995,128.899994,130.729996,62963400
2023-01-11,131.25,133.5,130.460007,133.490005,68886300
2023-01-12,133.880005,134.729996,131.214996,134.509995,71379700
2023-01-13,132.899994,135.089996,132.229996,134.759995,80796800
2023-01-17,134.830002,137.289993,134.130005,135.940002,63645300
